code,state,metro
743,Alaska (AK),Anchorage AK
745,Alaska (AK),Fairbanks AK
747,Alaska (AK),Juneau AK
747,Alabama (AL),Juneau AK
630,Alabama (AL),Birmingham AL
606,Alabama (AL),Dothan AL
691,Alabama (AL),Huntsville-Decatur (Florence) AL
686,Alabama (AL),Mobile AL-Pensacola (Ft. Walton Beach) FL
698,Alabama (AL),Montgomery (Selma) AL
698,Arkansas (AR),Montgomery (Selma) AL
670,Arkansas (AR),Ft. Smith-Fayetteville-Springdale-Rogers AR
734,Arkansas (AR),Jonesboro AR
693,Arkansas (AR),Little Rock-Pine Bluff AR
628,Arkansas (AR),Monroe LA-El Dorado AR
628,Arizona (AZ),Monroe LA-El Dorado AR
753,Arizona (AZ),Phoenix AZ
789,Arizona (AZ),Tucson (Sierra Vista) AZ
771,Arizona (AZ),Yuma AZ-El Centro CA
771,California (CA),Yuma AZ-El Centro CA
800,California (CA),Bakersfield CA
868,California (CA),Chico-Redding CA
802,California (CA),Eureka CA
866,California (CA),Fresno-Visalia CA
803,California (CA),Los Angeles CA
828,California (CA),Monterey-Salinas CA
804,California (CA),Palm Springs CA
862,California (CA),Sacramento-Stockton-Modesto CA
825,California (CA),San Diego CA
807,California (CA),San Francisco-Oakland-San Jose CA
855,California (CA),Santa Barbara-Santa Maria-San Luis Obispo CA
771,California (CA),Yuma AZ-El Centro CA
771,Colorado (CO),Yuma AZ-El Centro CA
752,Colorado (CO),Colorado Springs-Pueblo CO
751,Colorado (CO),Denver CO
773,Colorado (CO),Grand Junction-Montrose CO
773,Connecticut (CT),Grand Junction-Montrose CO
533,Connecticut (CT),Hartford & New Haven CT
533,District of Columbia (DC),Hartford & New Haven CT
511,District of Columbia (DC),Washington DC (Hagerstown MD)
511,Florida (FL),Washington DC (Hagerstown MD)
571,Florida (FL),Ft. Myers-Naples FL
592,Florida (FL),Gainesville FL
561,Florida (FL),Jacksonville FL
528,Florida (FL),Miami-Ft. Lauderdale FL
686,Florida (FL),Mobile AL-Pensacola (Ft. Walton Beach) FL
534,Florida (FL),Orlando-Daytona Beach-Melbourne FL
656,Florida (FL),Panama City FL
530,Florida (FL),Tallahassee FL-Thomasville GA
539,Florida (FL),Tampa-St. Petersburg (Sarasota) FL
548,Florida (FL),West Palm Beach-Ft. Pierce FL
548,Georgia (GA),West Palm Beach-Ft. Pierce FL
525,Georgia (GA),Albany GA
524,Georgia (GA),Atlanta GA
520,Georgia (GA),Augusta GA
522,Georgia (GA),Columbus GA
503,Georgia (GA),Macon GA
507,Georgia (GA),Savannah GA
530,Georgia (GA),Tallahassee FL-Thomasville GA
530,Hawaii (HI),Tallahassee FL-Thomasville GA
744,Hawaii (HI),Honolulu HI
744,Iowa (IA),Honolulu HI
637,Iowa (IA),Cedar Rapids-Waterloo-Iowa City & Dubuque IA
682,Iowa (IA),Davenport IA-Rock Island-Moline IL
679,Iowa (IA),Des Moines-Ames IA
631,Iowa (IA),Ottumwa IA-Kirksville MO
717,Iowa (IA),Quincy IL-Hannibal MO-Keokuk IA
611,Iowa (IA),Rochester MN-Mason City IA-Austin MN
624,Iowa (IA),Sioux City IA
624,Idaho (ID),Sioux City IA
757,Idaho (ID),Boise ID
758,Idaho (ID),Idaho Falls-Pocatello ID
760,Idaho (ID),Twin Falls ID
760,Illinois (IL),Twin Falls ID
IL,Illinois (IL),Champaign & Springfield-Decatur
602,Illinois (IL),Chicago IL
682,Illinois (IL),Davenport IA-Rock Island-Moline IL
632,Illinois (IL),Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL
675,Illinois (IL),Peoria-Bloomington IL
717,Illinois (IL),Quincy IL-Hannibal MO-Keokuk IA
610,Illinois (IL),Rockford IL
610,Indiana (IN),Rockford IL
649,Indiana (IN),Evansville IN
509,Indiana (IN),Ft. Wayne IN
527,Indiana (IN),Indianapolis IN
582,Indiana (IN),Lafayette IN
588,Indiana (IN),South Bend-Elkhart IN
581,Indiana (IN),Terre Haute IN
581,Kansas (KS),Terre Haute IN
603,Kansas (KS),Joplin MO-Pittsburg KS
605,Kansas (KS),Topeka KS
678,Kansas (KS),Wichita-Hutchinson KS
678,Kentucky (KY),Wichita-Hutchinson KS
736,Kentucky (KY),Bowling Green KY
541,Kentucky (KY),Lexington KY
529,Kentucky (KY),Louisville KY
632,Kentucky (KY),Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL
632,Louisiana (LA),Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL
644,Louisiana (LA),Alexandria LA
